style,avgibu,count
American Amber / Red Ale,0,0
American Amber / Red Ale,5,0
American Amber / Red Ale,15,10
American Amber / Red Ale,25,24
American Amber / Red Ale,35,20
American Amber / Red Ale,45,9
American Amber / Red Ale,55,3
American Amber / Red Ale,65,4
American Amber / Red Ale,75,3
American Amber / Red Ale,85,2
American Amber / Red Ale,95,1
American Amber / Red Ale,105,0
American Amber / Red Ale,115,1
American Amber / Red Ale,125,4
American Amber / Red Ale,135,2
American Amber / Red Ale,145,0
American Blonde Ale,0,0
American Blonde Ale,5,1
American Blonde Ale,15,24
American Blonde Ale,25,32
American Blonde Ale,35,1
American Blonde Ale,45,2
American Blonde Ale,55,1
American Blonde Ale,65,0
American Blonde Ale,75,0
American Blonde Ale,85,0
American Blonde Ale,95,0
American Blonde Ale,105,0
American Blonde Ale,115,0
American Blonde Ale,125,0
American Blonde Ale,135,0
American Blonde Ale,145,0
American Double / Imperial IPA,0,0
American Double / Imperial IPA,5,0
American Double / Imperial IPA,15,0
American Double / Imperial IPA,25,0
American Double / Imperial IPA,35,1
American Double / Imperial IPA,45,0
American Double / Imperial IPA,55,0
American Double / Imperial IPA,65,5
American Double / Imperial IPA,75,5
American Double / Imperial IPA,85,21
American Double / Imperial IPA,95,12
American Double / Imperial IPA,105,17
American Double / Imperial IPA,115,8
American Double / Imperial IPA,125,4
American Double / Imperial IPA,135,2
American Double / Imperial IPA,145,0
American IPA,0,0
American IPA,5,0
American IPA,15,0
American IPA,25,0
American IPA,35,11
American IPA,45,30
American IPA,55,24
American IPA,65,92
American IPA,75,82
American IPA,85,34
American IPA,95,13
American IPA,105,12
American IPA,115,2
American IPA,125,0
American IPA,135,1
American IPA,145,0
American Pale Ale (APA),0,0
American Pale Ale (APA),5,0
American Pale Ale (APA),15,2
American Pale Ale (APA),25,7
American Pale Ale (APA),35,40
American Pale Ale (APA),45,52
American Pale Ale (APA),55,27
American Pale Ale (APA),65,25
American Pale Ale (APA),75,0
American Pale Ale (APA),85,0
American Pale Ale (APA),95,0
American Pale Ale (APA),105,0
American Pale Ale (APA),115,0
American Pale Ale (APA),125,0
American Pale Ale (APA),135,0
American Pale Ale (APA),145,0